Modulus Bit Length,Rounds,Time Elapsed (ms),Success
1024,100000,0.0965,True
1024,100000,254.7631,False
1024,10000,43.868,False
1024,20000,56.8096,False
1024,40000,131.6223,False
1024,60000,144.2907,False
1024,80000,154.701,False
1023,100000,0.104,True
1023,80000,0.0808,True
1023,60000,0.0343,True
1023,40000,0.0306,True
1023,20000,0.1026,True
2047,20000,0.0593,True
1023,100000,252.541,False
1023,100000,0.045,True
1024,100000,0.0944,True
1024,100000,160.8461,False
2048,100000,439.0172,False
2048,10000,34.4781,False
2048,20000,129.6717,False
2048,40000,226.3068,False
2048,60000,271.4698,False
2048,80000,412.4228,False
3600,100000,644.6251,False
3600,10000,66.9119,False
3600,20000,131.4492,False
3600,40000,264.518,False
3600,60000,399.6891,False
3600,80000,504.9,False
3600,10000,79.6148,False
3600,20000,168.2404,False
3599,10000,0.1377,True
3599,20000,0.1427,True
3599,40000,0.0501,True
3599,60000,0.0684,True
3599,80000,0.1021,True
3599,100000,0.0546,True
1024,100000,270.6899,False
1023,100000,0.0444,True
2048,100000,0.2934,True
2048,80000,0.0338,True
2048,60000,0.0292,True
2048,40000,0.0332,True
2048,20000,0.1425,True
2048,10000,0.0354,True
512,100000,100.7745,False
512,80000,87.4703,False
512,60000,97.163,False
512,40000,65.7672,False
512,20000,41.7207,False
512,10000,19.8782,False
512,100000,112.4911,False
511,100000,0.0326,True
511,80000,0.057,True
511,60000,0.0628,True
511,40000,0.0695,True
511,20000,0.0645,True
511,10000,0.0564,True
3000,100000,455.5737,False
3000,80000,566.575,False
3000,60000,368.5289,False
3000,40000,251.634,False
3000,20000,158.7349,False
3000,10000,88.3777,False
3000,10000,103.9309,False
3000,10000,0.0807,True
3000,20000,0.1116,True
3000,40000,0.0435,True
3000,60000,0.1112,True
3000,80000,0.0541,True
3000,100000,0.1089,True
